;UNIVALLE;CIAT;CENICA A;UAD;UNAL;UIS;UCESAR;ITM;UPB;UPAMPLONA;ULIBRE;UDEA;SENA;BIOPACIFICO;CORPOICA_AGROSAVIA;BIOTEC;ALEXANDER VON HUMBOLT;CORPOGEN;CENIPALMA;INCAUCA;RIOPAILA;MAYAGUEZ;PROVIDENCIA;RISARALDA;GPC;PROGEN;BIOENERGY;ASOCA A;PROCA A;CIAMSA;TECNICA A;TERPEL;FEDEPETROLEO;MINMINAS;MINCIENCIAS;DNP;MADR;FEPALMA;FEDEBIOCOMBUSTIBLES;ICA;BANCO AGRARIO;FINAGRO;BANCOLDEX
UNIVALLE;0;1;1;1;1;1;0;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;1;1;0;1;1;0;0;0;1;1;1;1
CIAT;1;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;1;0;0;1;1;1;1;1
CENICA A;1;1;0;1;1;1;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
UAD;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;1;0;1;1;0;0;0;1;1;1;1
UNAL;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
UIS;1;1;1;0;1;0;1;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;1;0;1
UCESAR;0;0;0;0;1;1;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;0;1;1;0;1;0;1
ITM;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1
UPB;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;1;1;0;1;0;0;1;1;0;0;0;0;1;1;1;1;1;1;1;0;1;1;0;1;0;1
UPAMPLONA;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;1;1;0;1;1;0;0;0;0
ULIBRE;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0
UDEA;0;0;0;0;1;1;1;1;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;1;0;1
SENA;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1
BIOPACIFICO;1;1;1;0;1;1;1;0;1;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1
CORPOICA_AGROSAVIA;1;1;1;0;1;0;0;0;0;0;1;0;1;1;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1
BIOTEC;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;0;0;1;0;1;0;0
ALEXANDER VON HUMBOLT;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;1;1;1;0;0;1;1;1;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1
CORPOGEN;1;1;1;1;1;1;0;0;1;1;0;0;1;1;1;1;1;0;1;0;1;1;0;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1
CENIPALMA;1;1;1;1;1;0;0;0;1;0;1;0;1;1;1;0;1;1;0;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1
INCAUCA;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;0;1;0;1;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1
RIOPAILA;1;1;1;1;1;0;0;0;1;0;0;0;1;1;1;0;1;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1
MAYAGUEZ;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1
PROVIDENCIA;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;0;1;0;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1
RISARALDA;0;0;1;0;1;0;0;0;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;1;0;1
GPC;0;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;1;0;0
PROGEN;1;1;1;1;1;0;0;0;0;0;1;0;1;1;1;0;1;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1
BIOENERGY;1;0;1;1;1;0;0;0;0;0;0;0;1;1;1;0;1;0;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1
ASOCA A;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;0;1;0;1;1;1;1;1;0;0;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1
PROCA A;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1;1;1;0;1;1;0;1;1;1
CIAMSA;0;0;1;0;1;1;1;0;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;1;1;1;0;0;0;0
TECNICA A;1;0;1;0;1;1;1;0;1;1;0;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;0;0;0;0
TERPEL;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0;1;0;0
FEDEPETROLEO;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;0;1;0;1
MINMINAS;0;0;1;0;1;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;1;0;1
MINCIENCIAS;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
DNP;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;0
MADR;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;0;1;0;0;1;0;0
FEPALMA;0;0;1;0;1;1;1;0;1;1;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0
FEDEBIOCOMBUSTIBLES;0;1;1;0;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1
ICA;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1
BANCO AGRARIO;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1
FINAGRO;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;0;1;0;1;1;1;1;1;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;1;1;1;0;1
BANCOLDEX;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;0;0;0;1;1;1;1;0
